title,link,image,source,category
"Celebrating the partners driving Disrupt’s big ideas, connections, and community",https://techcrunch.com/2025/10/02/celebrating-the-partners-driving-disrupts-big-ideas-connections-and-community/,https://techcrunch.com/wp-content/uploads/2025/09/TC25_Disrupt_General_Article_No-Anniversary_Headers_1920x1080.png?w=668,TechCrunch,technology
Ex-OpenAI researcher dissects one of ChatGPT’s delusional spirals,https://techcrunch.com/2025/10/02/ex-openai-researcher-dissects-one-of-chatgpts-delusional-spirals/,https://techcrunch.com/wp-content/uploads/2022/04/GettyImages-1371961757.jpg?w=563,TechCrunch,technology
Perplexity’s Comet AI browser now free; Max users get new ‘background assistant’,https://techcrunch.com/2025/10/02/perplexitys-comet-ai-browser-now-free-max-users-get-new-background-assistant/,https://techcrunch.com/wp-content/uploads/2025/01/GettyImages-2181313521.jpg?w=563,TechCrunch,technology
Amazon now lets Prime members add items to upcoming orders with one tap,https://techcrunch.com/2025/10/02/amazon-now-lets-prime-members-add-items-to-upcoming-orders-with-one-tap/,https://techcrunch.com/wp-content/uploads/2025/10/add-phonehero-2000x1125-1.jpg?w=668,TechCrunch,technology
Rivian’s best-case guess for 2025 sales is a 16% drop from last year,https://techcrunch.com/2025/10/02/rivians-best-case-guess-for-2025-sales-is-a-16-drop-from-last-year/,https://techcrunch.com/wp-content/uploads/2025/04/rivian-ev-parked.jpg?w=613,TechCrunch,technology
Phoebe Gates and Sophia Kianni share the playbook for scaling consumer AI and winning Gen Z at TechCrunch Disrupt 2025,https://techcrunch.com/2025/10/02/storming-the-gates-scaling-consumer-ai-with-phoebe-gates-and-sophia-kianni-only-at-techcrunch-disrupt-2025/,https://techcrunch.com/wp-content/uploads/2025/09/Credit-is-Zhamak-Fullad-co-Phia-e1758387615163.jpg?w=427,TechCrunch,technology
A new a16z report looks at which AI companies startups are actually paying for,https://techcrunch.com/2025/10/02/a-new-a16z-report-looks-at-which-ai-companies-startups-are-actually-paying-for/,https://techcrunch.com/wp-content/uploads/2025/10/Top-50-Ai-companies-a16z.png?w=668,TechCrunch,technology
Hackers are sending extortion emails to executives after claiming Oracle apps’ data breach,https://techcrunch.com/2025/10/02/hackers-are-sending-extortion-emails-to-executives-after-claiming-oracle-apps-data-breach/,https://techcrunch.com/wp-content/uploads/2023/09/email-pattern-mosh-photo-getty.jpg?w=563,TechCrunch,technology
OpenAI is the world’s most valuable private company after private stock sale,https://techcrunch.com/2025/10/02/openai-is-the-worlds-most-valuable-private-company-after-private-stock-sale/,https://techcrunch.com/wp-content/uploads/2025/04/GettyImages-2206295463.jpg?w=563,TechCrunch,technology
Apple shelves Vision Pro overhaul to focus on AI glasses,https://techcrunch.com/2025/10/02/apple-shelves-vision-pro-overhaul-to-focus-on-ai-glasses/,https://techcrunch.com/wp-content/uploads/2023/06/CMC_6538.jpg?w=563,TechCrunch,technology
I’ve tested the latest Switch 2 controllers and this one is the best,https://www.theverge.com/tech/791574/best-switch-2-controllers,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257964_Switch_2_controllers_CVirginia.jpg,The Verge,technology
Version History is live — here’s how to find it,https://www.theverge.com/podcast/792339/version-history-podcast-hoverboards,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Version-History-TileArt.jpg,The Verge,technology
The best lists to keep — and the best ways to keep them,https://www.theverge.com/tech/791905/best-lists-apps-to-do-shopping-installer,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Installer-100.png,The Verge,technology
This week’s best deal is a ‘kids’ Kindle Paperwhite that’s better than the adult version,https://www.theverge.com/tech/791728/kindle-paperwhite-kids-sonos-era-100-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Kindle-Paperwhite-Kids-Deal-Image.png,The Verge,technology
Ecovacs’ Deebot X8 and X9 Pro Omni robovacs have hit a new low price,https://www.theverge.com/tech/791106/ecovacs-deebot-x8-x9-pro-omni-robot-vacuum-prime-day-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/04/8A0A2965.jpeg,The Verge,technology
Instagram wants me to make content — I just want to post a photo,https://www.theverge.com/tech/791595/instagram-uploading-features-content,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257997_instagram_content_CVirginia.jpg,The Verge,technology
Discord customer service data breach leaks user info and scanned photo IDs,https://www.theverge.com/news/792032/discord-customer-service-data-breach-hack,https://platform.theverge.com/wp-content/uploads/sites/2/2025/09/acastro_STK062_03.jpg,The Verge,technology
Unity discloses a years-old security exploit and urges developers to update their games,https://www.theverge.com/news/791609/unity-security-exploit-developers-update-games,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/236784_Unity_Stock_V1_CVirginia_0000_A_.png,The Verge,technology
Google removes ICE-spotting app following Apple’s ICEBlock crackdown,https://www.theverge.com/news/791533/google-apple-ice-tracking-app-store-red-dot-iceblock,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/red-dot-app.png,The Verge,technology
Amazon’s Fire TV Stick 4K is getting a new name soon,https://www.theverge.com/news/791504/amazons-fire-tv-stick-4k-is-getting-a-new-name-soon,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/Amazon-Fire-TV-Stick-4K-Lifestyle-Press-Image.jpg,The Verge,technology
Trump rolled YouTube into paying for his ballroom,https://www.theverge.com/policy/791355/trump-youtube-google-antitrust-ballroom,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/gettyimages-2181754523.jpg,The Verge,technology
"Sony shrinks PS5 Slim storage in the US, too",https://www.theverge.com/news/791380/sony-ps5-slim-reduced-storage-2100-model-series,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/sony-ps5-825gb.png,The Verge,technology
A bundle with Amazon’s biggest smart display and a stand just got its biggest discount,https://www.theverge.com/tech/791283/amazon-echo-show-21-jbl-tour-3-earbuds-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Amazon-Echo-Show-21-Deal.png,The Verge,technology
The quest for every Gap store playlist ever,https://www.theverge.com/report/790802/gap-playlists-michael-bise-music-streaming-nostalgia,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257992_gap_store_playlist_CVirginia.jpg,The Verge,technology
The real price of a free TV,https://www.theverge.com/podcast/791253/telly-free-tv-ads-amazon-echo-vergecast,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/VST_1003_Site.jpg,The Verge,technology
"I tried Amazon and Google’s new smart home gadgets, ask me anything!",https://www.theverge.com/tech/790817/amazon-alexa-show-google-gemini-nest-hands-on-ama,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257993_Jen_Tuohy_AMA_CVirginia.jpg,The Verge,technology
Japan’s most popular beer is running low after cyberattack,https://www.theverge.com/news/791192/asahi-beer-cyberattack-systems-outage,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/gettyimages-648902788.jpg,The Verge,technology
Apple pulls ICEBlock from the App Store,https://www.theverge.com/news/791170/iceblock-app-store-removed-by-apple,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/STKB356_ICEBLOCK_A.jpg,The Verge,technology
"NBCUniversal’s new YouTube TV deal covers YouTube, Peacock, and a new sports network",https://www.theverge.com/news/791124/youtube-tv-nbc-universal-peacock-nbcsn,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/acastro_STK092_02.jpg,The Verge,technology
Redbox’s next product may be piracy lawsuits,https://www.theverge.com/tech/791013/redbox-chicken-soup-piracy-lawsuits-ip-sale-grove-street,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/Screenshot-2024-06-27-at-4.08.25-PM.png,The Verge,technology
PSA: you can get around paying the Xbox Game Pass Ultimate price increase — here’s how,https://www.theverge.com/tech/791012/xbox-pc-game-pass-ultimate-how-to-get-old-price,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/xboxgamepasshed.jpg,The Verge,technology
Shein is opening its first physical stores,https://www.theverge.com/news/791000/shein-france-physical-store-chinese-ecommerce-fast-fashion,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/STK159_Shein_01.jpg,The Verge,technology
Ring’s new Search Party feature is on by default; should you opt out?,https://www.theverge.com/news/790928/ring-search-party-cameras-default-opt-out,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/download.jpeg,The Verge,technology
"Google is destroying independent websites, and one sees no choice but to defend it anyway",https://www.theverge.com/tech/790711/google-doj-ad-tech-remedies-wikihow-open-web,https://platform.theverge.com/wp-content/uploads/sites/2/2025/10/257989_wikihow_google_ad_tech_CVirginia_4.jpg,The Verge,technology
Here are 65 great deals you can snag ahead of Amazon’s fall Prime Day event,https://www.theverge.com/tech/783008/amazon-october-prime-day-sale-best-early-deals-2025,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25744324/Boox_Palma_Hermano.jpg,The Verge,technology
It’s your last chance to snag the Xbox Series S and X at its current price before they rise tomorrow,https://www.theverge.com/tech/790768/xbox-series-x-s-kirby-air-riders-deal-sale,https://platform.theverge.com/wp-content/uploads/sites/2/2025/05/Xbox-Series-S-Deal-Lead.png,The Verge,technology
"GST 2.0: Q2 sales to see a dip, but companies project firm demand going ahead",https://indianexpress.com/article/business/economy/gst-2-0-q2-sales-to-see-a-dip-but-companies-project-firm-demand-going-ahead-10277125/,https://images.indianexpress.com/2025/09/delhi_37e120_20250924231006_20250928175056.jpg,Indian Express,economy
"GST reform to lower retail prices, boost consumption: RBI article",https://indianexpress.com/article/business/economy/gst-reform-to-lower-retail-prices-boost-consumption-rbi-article-10269804/,https://images.indianexpress.com/2025/09/delhi_37e120_20250924231006.jpg,Indian Express,economy
Rupee falls to record low of 88.75 against US dollar,https://indianexpress.com/article/business/economy/rupee-falls-to-record-low-of-88-75-against-us-dollar-10267254/,https://images.indianexpress.com/2025/09/Rupee_20250923163700.jpg,Indian Express,economy
"GST 2.0: Amid concern of ‘profiteering’, FinMin to compile price data of common use items",https://indianexpress.com/article/business/economy/gst-2-0-amid-concern-of-profiteering-finmin-to-compile-price-data-of-common-use-items-10240562/,https://images.indianexpress.com/2025/09/kirana-store_20250909203420.jpg,Indian Express,economy
GST inversion eases but wide gap in input-output rates remains a worry for industry,https://indianexpress.com/article/business/economy/gst-inversion-eases-but-wide-gap-in-input-output-rates-remains-a-worry-for-industry-10236219/,https://images.indianexpress.com/2025/09/INVERTED-duty-structure.jpg,Indian Express,economy
"‘Challenge of US tariffs offers opportunity for reforms, deregulation’",https://indianexpress.com/article/business/economy/challenge-of-us-tariffs-offers-opportunity-for-reforms-deregulation-10234504/,https://images.indianexpress.com/2025/09/naushad-forbes.jpg,Indian Express,economy
"In GST 2.0 calculus, behavioural nudges — packaged foods to ACs",https://indianexpress.com/article/business/economy/in-gst-2-0-calculus-behavioural-nudges-packaged-foods-to-acs-10231036/,https://images.indianexpress.com/2025/09/kirana-store.jpg,Indian Express,economy
"Trump’s tariff blow to weigh on India, but will be shortlived: CEA V Anantha Nageswaran",https://indianexpress.com/article/business/economy/trumps-tariff-blow-to-weigh-on-india-but-will-be-shortlived-cea-v-anantha-nageswaran-10231001/,https://images.indianexpress.com/2025/09/Chief-Economic-Advisor.jpg,Indian Express,economy
"Urjit Patel: ‘Tariff impacting 55% Indian exports to US, need to mitigate pain’",https://indianexpress.com/article/business/economy/urjit-patel-tariff-impacting-55-indian-exports-to-us-need-to-mitigate-pain-10228949/,https://images.indianexpress.com/2025/09/Urjit-Patel.jpg,Indian Express,economy
Current account deficit stands at $2.4 bn in Q1: RBI data,https://indianexpress.com/article/business/economy/current-account-deficit-stands-at-2-4-bn-in-q1-rbi-data-10224719/,https://images.indianexpress.com/2025/09/current-account.jpg,Indian Express,economy
"Disposable income of Indian households to be significantly higher this year, says CEA Nageswaran",https://indianexpress.com/article/business/economy/disposable-income-of-indian-households-to-be-significantly-higher-this-year-says-cea-nageswaran-10219480/,https://images.indianexpress.com/2025/08/CEA-3col.jpg,Indian Express,economy
Microsoft’s ‘legacy’ automated system triggered suspension of Nayara’s services,https://indianexpress.com/article/business/economy/microsofts-legacy-automated-system-triggered-suspension-of-nayaras-services-10218621/,https://images.indianexpress.com/2025/08/microsoft_abf4a8.jpg,Indian Express,economy
"Ready to support growth, sectors impacted more by US tariffs: RBI Governor",https://indianexpress.com/article/business/economy/ready-to-support-growth-sectors-impacted-more-by-us-tariffs-rbi-governor-10211435/,https://images.indianexpress.com/2025/08/sanjay-malhotra-3_20250825205441.jpg,Indian Express,economy
"With a tight timeline for October rollout, GST Council to hold 2-day meeting on September 3-4",https://indianexpress.com/article/business/economy/with-a-tight-timeline-for-october-rollout-gst-council-to-hold-2-day-meeting-on-september-3-4-10205667/,https://images.indianexpress.com/2025/08/GST-2.jpg,Indian Express,economy
GoM backs Centre’s plan for GST rate rationalisation; states raise revenue loss concerns,https://indianexpress.com/article/business/economy/gom-backs-centres-plan-for-gst-rate-rationalisation-10203325/,https://images.indianexpress.com/2025/08/gst_e8045a.jpg,Indian Express,economy
Indian music industry calls for AI transparency to protect copyright owners,https://indianexpress.com/article/business/economy/indian-music-industry-ai-transparency-copyright-owners-10201291/,https://images.indianexpress.com/2025/08/ai-2.jpg,Indian Express,economy
"Monetary policy needs to remain watchful amid uncertainty on the external front, says RBI Governor Malhotra",https://indianexpress.com/article/business/economy/monetary-policy-needs-to-remain-watchful-rbi-governor-sanjay-malhotra-10201198/,https://images.indianexpress.com/2025/08/Sanjay-Malhotra_6a76bb.jpg,Indian Express,economy
"Credit upgrade, GST revamp and trade tariffs may redefine India’s growth outlook, says HSBC",https://indianexpress.com/article/business/economy/credit-upgrade-gst-revamp-trade-tariffs-redefine-india-growth-outlook-hsbc-10199201/,https://images.indianexpress.com/2025/08/trade-1.jpg,Indian Express,economy
"Major states warn of Rs 7,000-9,000 crore annual loss under new GST structure",https://indianexpress.com/article/business/economy/major-states-warn-of-rs-7000-9000-crore-annual-loss-under-new-gst-structure-10197288/,https://images.indianexpress.com/2025/08/gst_20250620061055_20250818190928.jpg,Indian Express,economy
Govt scraps duty on cotton imports till Sept 30 amid US tariffs pressure,https://indianexpress.com/article/business/economy/govt-scraps-duty-on-cotton-imports-till-sept-30-amid-us-tariffs-pressure-10197279/,https://images.indianexpress.com/2025/08/cotton_243ba4_20250818190432.jpg,Indian Express,economy
"GST restructure plan: In new regime, online gaming likely to be placed in top bracket",https://indianexpress.com/article/business/economy/gst-restructure-plan-in-new-regime-online-gaming-likely-to-be-placed-in-top-bracket-10195323/,https://images.indianexpress.com/2025/08/Online-Gaming.jpg,Indian Express,economy
"US negotiators’ visit to India for trade talks uncertain, additional 25% US tariff to depend on geopolitics",https://indianexpress.com/article/business/economy/additional-25-us-tariff-levy-depends-on-how-geopolitical-events-unfold-10189749/,https://images.indianexpress.com/2025/08/trump-1-2.jpg,Indian Express,economy
"18 years later, S&P upgrades India’s sovereign rating, says US tariffs impact ‘manageable’",https://indianexpress.com/article/business/economy/sp-india-bbb-best-performing-economies-world-economy-business-10189052/,https://images.indianexpress.com/2025/08/SP.jpg,Indian Express,economy
"US tariffs could knock 50 bps off India’s growth, deepen jobless recovery: Former RBI Governor Subbarao",https://indianexpress.com/article/business/economy/former-rbi-governor-subbarao-us-tariffs-trump-india-growth-10185264/,https://images.indianexpress.com/2025/08/subbarao.jpg,Indian Express,economy
"India’s July retail inflation hits 8-year low of 1.55%, second-lowest ever",https://indianexpress.com/article/business/economy/sub-2-indias-july-retail-inflation-hits-8-year-low-second-lowest-ever-10184932/,https://images.indianexpress.com/2025/08/vegetables.jpg,Indian Express,economy
"Tata Capital, LG Electronics India to launch IPOs worth over Rs 27,000 crore next week",https://economictimes.indiatimes.com/markets/stocks/news/tata-capital-lg-electronics-india-to-launch-ipos-worth-over-rs-27000-crore-next-week/articleshow/124320050.cms,"https://img.etimg.com/thumb/msid-124320050,width-640,height-480,imgsize-66010/tata-capital-lg-electronics-india-to-launch-ipos-worth-over-rs-27000-crore-next-week.jpg",Economic Times,economy
"FPIs offload equities worth Rs 23,885 cr in Sep; total outflow reaches Rs 1.6 lakh cr in 2025",https://economictimes.indiatimes.com/markets/stocks/news/fpis-offload-equities-worth-rs-23885-cr-in-sep-total-outflow-reaches-rs-1-6-lakh-cr-in-2025/articleshow/124320017.cms,"https://img.etimg.com/thumb/msid-124320017,width-640,height-480,imgsize-6216/fpis-offload-equities-worth-rs-23885-cr-in-sep-total-outflow-reaches-rs-1-6-lakh-cr-in-2025.jpg",Economic Times,economy
"Market Trading Guide: Buy Coal India, multibagger GE Vernova and 2 smallcaps on Monday for up to 18% gains",https://economictimes.indiatimes.com/markets/stocks/news/market-trading-guide-buy-coal-india-multibagger-ge-vernova-and-2-smallcaps-on-monday-for-up-to-18-gains/slideshow/124318901.cms,"https://img.etimg.com/thumb/msid-124318861,width-640,height-480,imgsize-2009948/market-trading-guide-buy-coal-india-multibagger-ge-vernova-and-2-smallcaps-on-monday-for-up-to-18-gains.jpg",Economic Times,economy
"Mcap of 7 of top-10 most valued firms climbs Rs 74,573 cr; HDFC Bank biggest gainer",https://economictimes.indiatimes.com/markets/stocks/news/mcap-of-7-of-top-10-most-valued-firms-climbs-rs-74573-cr-hdfc-bank-biggest-gainer/articleshow/124319983.cms,"https://img.etimg.com/thumb/msid-124319983,width-640,height-480,imgsize-9458/mcap-of-7-of-top-10-most-valued-firms-climbs-rs-74573-cr-hdfc-bank-biggest-gainer.jpg",Economic Times,economy
Ahead of Market: 10 things that will decide stock market action on Monday,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-monday/articleshow/124318805.cms,"https://img.etimg.com/thumb/msid-124318805,width-640,height-480,imgsize-3328185/ahead-of-market-10-things-that-will-decide-stock-market-action-on-monday.jpg",Economic Times,economy
Flipkart to offload entire stake in Aditya Birla Lifestyle via Rs 950 crore block deal: Report,https://economictimes.indiatimes.com/markets/stocks/news/flipkart-to-offload-entire-stake-in-aditya-birla-lifestyle-via-rs-950-crore-block-deal-report/articleshow/124318326.cms,"https://img.etimg.com/thumb/msid-124318326,width-640,height-480,imgsize-78680/flipkart-to-offload-entire-stake-in-aditya-birla-lifestyle-via-rs-950-crore-block-deal-report.jpg",Economic Times,economy
"Crucial week for traders: Oct 6, 7 & 9 seen as high-volatility days, Harshubh Shah",https://economictimes.indiatimes.com/markets/stocks/news/crucial-week-for-traders-oct-6-7-9-seen-as-high-volatility-days-harshubh-shah/articleshow/124318250.cms,"https://img.etimg.com/thumb/msid-124318250,width-640,height-480,imgsize-78680/crucial-week-for-traders-oct-6-7-9-seen-as-high-volatility-days-harshubh-shah.jpg",Economic Times,economy
"Stallion India, Orient Tech among 10 smallcaps that rallied up to 40% last week. Own any?",https://economictimes.indiatimes.com/markets/stocks/news/stallion-india-orient-tech-among-10-smallcaps-that-rallied-up-to-40-last-week-own-any/slideshow/124317878.cms,"https://img.etimg.com/thumb/msid-124317780,width-640,height-480,imgsize-96184/stallion-india-orient-tech-among-10-smallcaps-that-rallied-up-to-40-last-week-own-any.jpg",Economic Times,economy
LG India to Tata Capital: GMPs suggest listing gains up to 20% for 5 IPOs this week,https://economictimes.indiatimes.com/markets/stocks/news/lg-india-to-tata-capital-gmps-suggest-listing-gains-up-to-20-for-5-ipos-this-week/slideshow/124317712.cms,"https://img.etimg.com/thumb/msid-124317679,width-640,height-480,imgsize-57988/lg-india-to-tata-capital-gmps-suggest-listing-gains-up-to-20-for-5-ipos-this-week.jpg",Economic Times,economy
From a long-term perspective: This ratio increases the probability of being right in the quest for wealth creation,https://economictimes.indiatimes.com/markets/stocks/news/from-a-long-term-perspective-this-ratio-increases-the-probability-of-being-right-in-the-quest-for-wealth-creation/articleshow/124317535.cms,"https://img.etimg.com/thumb/msid-124317535,width-640,height-480,imgsize-97334/from-a-long-term-perspective-this-ratio-increases-the-probability-of-being-right-in-the-quest-for-wealth-creation.jpg",Economic Times,economy
7 Midcap stocks with explosive upside potential — up to 40% returns in 1 year,https://economictimes.indiatimes.com/markets/stocks/news/7-midcap-stocks-with-explosive-upside-potential-up-to-40-returns-in-1-year/slideshow/124317270.cms,"https://img.etimg.com/thumb/msid-124317227,width-640,height-480,imgsize-57988/7-midcap-stocks-with-explosive-upside-potential-up-to-40-returns-in-1-year.jpg",Economic Times,economy
Axis Securities names Bank of Baroda among top 3 technical picks with upside potential up to 18%,https://economictimes.indiatimes.com/markets/stocks/news/axis-securities-names-bank-of-baroda-among-top-3-technical-picks-with-upside-potential-up-to-18/slideshow/124316289.cms,"https://img.etimg.com/thumb/msid-124316264,width-640,height-480,imgsize-288759/axis-securities-names-bank-of-baroda-among-top-3-technical-picks-with-upside-potential-up-to-18.jpg",Economic Times,economy
Multibaggers: 9 penny stocks soar up to 400% in 6 months,https://economictimes.indiatimes.com/markets/stocks/news/multibaggers-9-penny-stocks-soar-up-to-400-in-6-months/slideshow/124316241.cms,"https://img.etimg.com/thumb/msid-124316163,width-640,height-480,imgsize-6388/multibaggers-9-penny-stocks-soar-up-to-400-in-6-months.jpg",Economic Times,economy
"Stocks to buy in 2025 for long term: ACC, Ambuja Cement among 5 stocks that could give 12-24% return",https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2025-for-long-term-acc-ambuja-cement-among-5-stocks-that-could-give-12-24-return/slideshow/124316054.cms,"https://img.etimg.com/thumb/msid-124316017,width-640,height-480,imgsize-3366/stocks-to-buy-in-2025-for-long-term-acc-ambuja-cement-among-5-stocks-that-could-give-12-24-return.jpg",Economic Times,economy
From Q2 earnings to FII movements: 8 key drivers likely to impact D-Street this week,https://economictimes.indiatimes.com/markets/stocks/news/from-q2-earnings-to-fii-movements-8-key-drivers-likely-to-impact-d-street-this-week/articleshow/124315966.cms,"https://img.etimg.com/thumb/msid-124315966,width-640,height-480,imgsize-123744/from-q2-earnings-to-fii-movements-8-key-drivers-likely-to-impact-d-street-this-week.jpg",Economic Times,economy
Macro the Mightiest: ET Prime Special Series - Part 2 (B): Inflation… understand it because it means a lot to the stock market,https://economictimes.indiatimes.com/markets/stocks/news/macro-the-mightiest-et-prime-special-series-part-2-b-inflation-understand-it-because-it-means-a-lot-to-the-stock-market/articleshow/124310141.cms,"https://img.etimg.com/thumb/msid-124310141,width-640,height-480,imgsize-1924651/macro-the-mightiest-et-prime-special-series-part-2-b-inflation-understand-it-because-it-means-a-lot-to-the-stock-market.jpg",Economic Times,economy
"IND vs PAK, Women’s ODI World Cup 2025: Harmanpreet Kaur, Fatima Sana avoid handshakes at toss in Colombo",https://indianexpress.com/article/sports/cricket/india-vs-pakistan-womens-odi-world-cup-2025-harmanpreet-kaur-fatima-sana-no-toss-handshake-10288998/,https://images.indianexpress.com/2025/10/Ind-pak-women-no-hand-shake.jpg,Indian Express,sports
‘Ye pagal hai’: Abhishek Nayar reveals how Rohit Sharma was once sacked from Mumbai captaincy after replacing Ajit Agarkar,https://indianexpress.com/article/sports/cricket/abhishek-nayar-reveal-rohit-sharma-captaincy-sack-mumbai-agarkar-10288833/,https://images.indianexpress.com/2025/10/rohit-sharma-ranji.jpg,Indian Express,sports
"India vs Pakistan Live Cricket Score, Women’s World Cup 2025: Pratika Rawal’s burst takes IND to 29/0 in 4 overs",https://indianexpress.com/article/sports/cricket/india-w-vs-pakistan-w-live-cricket-score-womens-world-cup-2025-chance-of-rain-no-possibility-of-handshake-as-ind-face-pak-10288745/,https://images.indianexpress.com/2025/10/india_women_pakistan_women_live_score-and-blog.jpg,Indian Express,sports
"India-A vs Australia-A LIVE Score, 3rd Unofficial ODI Updates: Connolly falls to Badoni, IND-A pick six wickets",https://indianexpress.com/article/sports/cricket/india-vs-australia-a-live-score-3rd-unofficial-odi-updates-kanpur-shreyas-iyer-10288617/,https://images.indianexpress.com/2025/10/ind-a-vs-aus-a-3rd-odi-live.jpg,Indian Express,sports
Hikaru Nakamura throws Gukesh’s king into crowd after checkmating world champion in bullet game as India are swept 5-0 by USA,https://indianexpress.com/article/sports/chess/gukesh-checkmated-bullet-hikaru-nakamura-india-swept-0-5-usa-10288501/,https://images.indianexpress.com/2025/10/Gukesh-vs-Hikaru-Nakamura-checkmate.jpg,Indian Express,sports
‘Be like Harshit Rana.. a constant yes-man to Gautam Gambhir’: Kris Srikkanth slams pacer’s ODI inclusion for AUS tour,https://indianexpress.com/article/sports/cricket/harshit-rana-yes-man-gambhir-srikkanth-slams-india-odi-inclusion-10288507/,https://images.indianexpress.com/2025/10/Harshit-Rana-ODI.jpg,Indian Express,sports
India vs Pakistan Women’s World Cup 2025 Pitch and Weather Report: What to expect from pitch and weather during IND-PAK clash in Colombo?,https://indianexpress.com/article/sports/cricket/india-vs-pakistan-womens-world-cup-2025-pitch-weather-report-what-to-expect-from-pitch-and-weather-during-ind-pak-clash-in-colombo-10288244/,https://images.indianexpress.com/2025/10/r-premadasa-stadium-ap.jpg,Indian Express,sports
"‘Everyday reason keeps changing’: Ex-India captain questions Sanju Samson’s ODI snub, ‘How did Jurel come in?’",https://indianexpress.com/article/sports/cricket/sanju-samson-odi-snub-srikkanth-slams-ajit-agarkar-jurel-selection-10288469/,https://images.indianexpress.com/2025/10/samson-odi-drop.jpg,Indian Express,sports
